,Station ID,start station name,Flow,start station latitude,start station longitude
98,330,Reade St & Broadway,-38,40.71450451,-74.00562789
99,331,Pike St & Monroe St,101,40.71173107,-73.99193043
100,332,Cherry St,-189,40.71219906,-73.97948148
101,334,W 20 St & 7 Ave,-30,40.74238787,-73.99726235
102,335,Washington Pl & Broadway,93,40.72903917,-73.99404649
103,336,Sullivan St & Washington Sq,601,40.73047747,-73.99906065
104,337,Old Slip & Front St,266,40.703799200000006,-74.00838676
105,339,Avenue D & E 12 St,-132,40.72580614,-73.97422494
106,340,Madison St & Clinton St,-18,40.71269042,-73.98776323
107,341,Stanton St & Mangin St,12,40.71782143,-73.97628939
108,342,Columbia St & Rivington St,98,40.71739973,-73.98016555
109,343,Clinton Ave & Flushing Ave,135,40.69794,-73.96986848
110,344,Monroe St & Bedford Ave,-105,40.6851443,-73.95380904
111,346,Bank St & Hudson St,104,40.73652889,-74.00618026
112,347,Greenwich St & W Houston St,502,40.728846000000004,-74.00859100000001
113,349,Rivington St & Ridge St,-529,40.71850211,-73.98329859
114,350,Clinton St & Grand St,121,40.71559509,-73.9870295
115,351,Front St & Maiden Ln,365,40.70530954,-74.00612572
116,353,S Portland Ave & Hanson Pl,58,40.68539567,-73.97431458
117,354,Emerson Pl & Myrtle Ave,16,40.69363137,-73.96223558
118,355,Bayard St & Baxter St,97,40.71602118,-73.99974372
119,356,Bialystoker Pl & Delancey St,-82,40.71622644,-73.98261206
120,358,Christopher St & Greenwich St,952,40.73291553,-74.00711384
121,359,E 47 St & Park Ave,10,40.75510267,-73.97498696
122,360,William St & Pine St,-326,40.70717936,-74.00887308
123,361,Allen St & Hester St,-86,40.71605866,-73.99190759
124,362,Broadway & W 37 St,-158,40.75172632,-73.98753523
125,363,West Thames St,54,40.70834698,-74.01713445
126,364,Lafayette Ave & Classon Ave,-142,40.68900443,-73.96023854
127,366,Clinton Ave & Myrtle Ave,-248,40.693261,-73.968896
128,367,E 53 St & Lexington Ave,230,40.75828065,-73.97069431
129,368,Carmine St & 6 Ave,1364,40.73038599,-74.00214988
130,369,Washington Pl & 6 Ave,11,40.73224119,-74.00026394
131,372,Franklin Ave & Myrtle Ave,39,40.694546087246025,-73.95801365375519
132,373,Willoughby Ave & Walworth St,42,40.69331716,-73.95381995
133,376,John St & William St,34,40.70862144,-74.00722156
134,377,6 Ave & Canal St,462,40.72243797,-74.00566443
135,379,W 31 St & 7 Ave,23,40.749156,-73.9916
136,380,W 4 St & 7 Ave S,265,40.73401143,-74.00293877
137,383,Greenwich Ave & Charles St,587,40.735238,-74.000271
138,385,E 55 St & 2 Ave,-115,40.75797322,-73.96603308
139,386,Centre St & Worth St,81,40.71494807,-74.00234482
140,387,Centre St & Chambers St,-205,40.71273266,-74.0046073
141,388,W 26 St & 10 Ave,295,40.749717753,-74.002950346
142,389,Broadway & Berry St,-109,40.71044554,-73.96525063
143,390,Duffield St & Willoughby St,110,40.69221589,-73.9842844
144,391,Clark St & Henry St,-529,40.69760127,-73.99344559
145,392,Jay St & Tech Pl,238,40.695065,-73.987167
146,393,E 5 St & Avenue C,156,40.72299208,-73.97995466
147,394,E 9 St & Avenue C,-97,40.72521311,-73.97768752
148,396,Lefferts Pl & Franklin Ave,-29,40.680342423,-73.9557689392
149,397,Fulton St & Clermont Ave,-33,40.68415748,-73.96922273
150,398,Atlantic Ave & Furman St,169,40.69165183,-73.99997859999999
151,399,Lafayette Ave & St James Pl,-58,40.68851534,-73.9647628
152,400,Pitt St & Stanton St,38,40.71926081,-73.98178024
153,401,Allen St & Rivington St,-136,40.72019576,-73.98997825
154,402,Broadway & E 22 St,2319,40.740343200000005,-73.98955109
155,403,E 2 St & 2 Ave,875,40.72502876,-73.99069656
156,405,Washington St & Gansevoort St,217,40.739323,-74.008119
157,406,Hicks St & Montague St,-151,40.69512845,-73.99595065
158,408,Market St & Cherry St,87,40.71076228,-73.99400398
159,410,Suffolk St & Stanton St,-371,40.72066442,-73.98517977
160,411,E 6 St & Avenue D,89,40.72228087,-73.97668709
161,412,Forsyth St & Canal St,234,40.715815500000005,-73.99422366
162,415,Pearl St & Hanover Square,108,40.7047177,-74.00926027
163,416,Cumberland St & Lafayette Ave,22,40.68753406,-73.97265183
164,417,Barclay St & Church St,16,40.71291224,-74.01020234
165,418,Front St & Gold St,20,40.70224,-73.982578
